"구분(1)",구분(2),구분(3),구분(4),2020
"울산",재활용 가능자원 분리배출,폐합성수지류,기타,6865.0
"울산",재활용 가능자원 분리배출,폐고무류,소계,0.0
"울산",재활용 가능자원 분리배출,폐유리병류,소계,9172.0
"울산",재활용 가능자원 분리배출,폐의류,소계,1606.8
"울산",재활용 가능자원 분리배출,폐섬유류,소계,216.9
"울산",재활용 가능자원 분리배출,폐형광등,소계,231.5
"울산",재활용 가능자원 분리배출,폐전지류,소계,79.3
"울산",재활용 가능자원 분리배출,영농폐기물,농약용기류,9.8
"울산",재활용 가능자원 분리배출,영농폐기물,폐비닐,843.3
"울산",재활용 가능자원 분리배출,폐식용유,소계,0.0
"울산",재활용 가능자원 분리배출,폐전기전자제품,소계,2472.0
"울산",재활용 가능자원 분리배출,폐가구류,소계,0.0
"울산",재활용 가능자원 분리배출,기타,소계,3163.3
"울산",재활용 가능자원 분리배출,재활용 잔재물,소계,13166.3
"울산",음식물류 폐기물 분리배출,소계,소계,106095.5
"세종",합계,소계,소계,117891.2
"세종",종량제방식 등 혼합배출,소계,소계,50915.9
"세종",종량제방식 등 혼합배출,가연성,소계,47279.8
"세종",종량제방식 등 혼합배출,가연성,폐지류,14832.5
"세종",종량제방식 등 혼합배출,가연성,폐합성수지류,11513.7
"세종",종량제방식 등 혼합배출,가연성,폐고무류,692.8
"세종",종량제방식 등 혼합배출,가연성,폐섬유류,2119.2
"세종",종량제방식 등 혼합배출,가연성,음식물류 폐기물,2818.7
"세종",종량제방식 등 혼합배출,가연성,폐목재류,1100.2
"세종",종량제방식 등 혼합배출,가연성,기타,14202.7
"세종",종량제방식 등 혼합배출,불연성,소계,3636.1
"세종",종량제방식 등 혼합배출,불연성,폐금속류,1022.0
"세종",종량제방식 등 혼합배출,불연성,폐유리류,1661.7
"세종",종량제방식 등 혼합배출,불연성,폐토사류,99.4
"세종",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,68.1
"세종",종량제방식 등 혼합배출,불연성,연탄재,377.3
"세종",종량제방식 등 혼합배출,불연성,기타,407.6
"세종",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0.0
"세종",종량제방식 등 혼합배출,기타(배출불명등),소계,0.0
"세종",재활용 가능자원 분리배출,소계,소계,51293.6
"세종",재활용 가능자원 분리배출,폐지류,종이팩,441.3
"세종",재활용 가능자원 분리배출,폐지류,기타,11379.6
"세종",재활용 가능자원 분리배출,고철류,소계,28427.2
"세종",재활용 가능자원 분리배출,금속캔,소계,662.0
"세종",재활용 가능자원 분리배출,폐합성수지류,비닐류,1521.3
"세종",재활용 가능자원 분리배출,폐합성수지류,발포수지류,398.2
"세종",재활용 가능자원 분리배출,폐합성수지류,PET병,1363.6
"세종",재활용 가능자원 분리배출,폐합성수지류,기타,1743.5
"세종",재활용 가능자원 분리배출,폐고무류,소계,36.7
"세종",재활용 가능자원 분리배출,폐유리병류,소계,3062.8
"세종",재활용 가능자원 분리배출,폐의류,소계,0.0
"세종",재활용 가능자원 분리배출,폐섬유류,소계,110.1
"세종",재활용 가능자원 분리배출,폐형광등,소계,37.0
"세종",재활용 가능자원 분리배출,폐전지류,소계,22.0
"세종",재활용 가능자원 분리배출,영농폐기물,농약용기류,19.6
"세종",재활용 가능자원 분리배출,영농폐기물,폐비닐,396.2
"세종",재활용 가능자원 분리배출,폐식용유,소계,0.0
"세종",재활용 가능자원 분리배출,폐전기전자제품,소계,732.9
"세종",재활용 가능자원 분리배출,폐가구류,소계,0.0
"세종",재활용 가능자원 분리배출,기타,소계,70.0
"세종",재활용 가능자원 분리배출,재활용 잔재물,소계,869.6
